CONTENT_ID,source,title,events_count,content_duration_sec,avg_progress_ratio
722246,AJA,عزيز أباظة ومجنون لبنى,1,1166,100.0
722006,AJA,ما قبل انتخابات المجالس المحلية بالعراق,1,1380,100.0
722003,AJA,تداعيات التوافق في السياسة العراقية,1,1490,100.0
721999,AJA,الأمن بالعراق.. استقرار أم تدهور؟,1,1442,100.0
721904,AJA,رحلة عبر الحواجز - الجزء 1,1,2194,100.0
721154,Other,جنود نتنياهو عالقون في جباليا,1,416,100.0
721152,AJA,المغاربة يلقّنون الإسرائيليين درسا في أمستردام,1,1806,100.0
720714,AJA,"جدل بباريس بسبب حفل ""إسرائيل إلى الأبد""",3,280,100.0
719862,AJA,هل يصل البتكوين إلى 150 ألف دولار؟,2,345,100.0
719610,AJA,أبو القاسم الحريري.. صاحب المقامات,1,1228,100.0
719337,Other,قصة أحداث تل الزعتر عام 1976,1,1017,100.0
719336,Other,جنوب أفريقيا تقاضي إسرائيل أمام المحكمة الدولية,1,956,100.0
719327,AJA,مجلس الأمن وفرض تعويضات على العراق,1,4239,100.0
717031,AJA,قراءة لمخرجات مؤتمر منتدى المستقبل,1,4196,100.0
716995,Other,Test-4K-Ratio2_1-31/10/24,2,6,100.0
716972,Other,Test record,6,6,100.0
716966,Other,Test-4K-Ratio2_1-31/10/24,4,6,100.0
716714,AJA,البعد السياسي للانتخابات العراقية,1,4248,100.0
716199,AJA,هل هدد ترامب ليز تشيني بالقتل؟,3,259,100.0
716053,Other,تفجير رحلة طيران الخليج 771,1,352,100.0
715452,Other,تهرب الجنود الإسرائيليين من خدمة الجيش,1,492,100.0
714751,AJA,زلة جديدة لبايدن.. هل تدفع ثمنها هاريس؟,3,308,100.0
712024,Other,هاريس.. من رماد العنصرية إلى قيادة أميركا,1,897,100.0
711859,AJA,طبيعة العلاقة الإيرانية الأميركية,1,2732,100.0
711130,AJA,رباعية تاريخية لبرشلونة على الريال أمام جماهيره,2,259,100.0
708613,AJA,"التفاصيل الكاملة لهجوم ""توساش"" بأنقرة",4,274,100.0
706250,AJA,الصراع الروسي الأميركي في الشرق الأوسط,1,2923,100.0
705469,AJA,مئة دولار لداعمي حملة ترامب في بنسلفانيا,4,282,100.0
702830,Other,خطة الجنرالات,1,444,100.0
701017,AJA,الانقلاب على نظام بورقيبة,1,2898,100.0
700992,AJA,المواجهة مع فرنسا وإسبانيا,1,3070,100.0
699121,Other,"أين ""الانتصار المطلق""؟",1,855,100.0
698167,AJA,جورج بوش يزور أوروبا,1,4199,100.0
697836,Other,حامي غابات الأمازون,1,455,100.0
697154,AJD,الصومال.. ذاكرة الجوع,1,2952,100.0
695052,Other,حرب بلا رصاص,1,932,100.0
695027,AJA,قصة البيان رقم واحد والصعود إلى القمر,1,1491,100.0
695026,AJA,الكرك.. المدينة المحصنة والأرض الخصبة,2,1388,100.0
692802,Other,لماذا يحاول بوتين تطوير سلالة دجاج روسية؟,1,1048,100.0
692160,Other,التصعيد الإسرائيلي في لبنان,1,419,100.0
689024,Other,"رؤية اليمين المتطرف لإسرائيل كـ""قدوة""",1,1171,100.0
688791,AJD,الباب الضيق,1,1886,100.0
