source,SERIES_ID,series_title,unique_viewers,total_views
AJA,2612,العاشق الذي التهمته الحكاية - غسان كنفاني,8,13
AJD,2300,البلقان قبل وبعد قرن من الزمان,8,13
AJD,2977,حكايات الشوارع,8,14
AJD,3211,رحلة الحج,8,16
LIVE,3010,الدار الكبيرة,8,15
Other,2719,رحلة المونديال,8,10
Other,2811,أمريكا و,8,15
AJA,2325,ممنوعون,7,11
AJA,2331,المحاربون القدامى,7,8
AJA,2401,فنون,7,46
AJA,2549,قلب المدينة,7,10
AJA,2713,اقتلوه بصمت,7,31
AJA,2785,مقتل عرفات,7,28
AJA,2904,الجزيرة : أسمع .. أرى .. أتكلم,7,12
AJA,3042,مهن رمضانية,7,23
AJA,3043,أصبح عندي الآن مدونة,7,9
AJA,3093,الصناعة في مصر,7,7
AJD,2147,حلم كأس العالم,7,7
AJD,2166,أمهات لاجئات,7,7
AJD,2184,إثيوبيا على الأقدام,7,10
AJD,2299,أم كلثوم,7,13
AJD,2697,نغمات وردية,7,10
AJD,3044,رمضان ومدينة,7,11
AJD,3124,من الغرانا إلى تل أبيب,7,9
LIVE,3011,بالعافية,7,14
Other,2476,قصص خليجية,7,11
AJA,2336,اليساريون,6,7
AJA,2340,أفريقيا وصراع الفيلة,6,8
AJA,2628,لبنان.. روايات الطوائف,6,10
AJA,3126,الحريق,6,15
AJD,2204,صور مصرية,6,6
AJD,2954,شغف,6,12
AJD,3255,الحج ومعالمه,6,8
AJD,3308,مصالي الحاج,6,13
AJD,3310,الفلاقة,6,11
LIVE,3027,تيجان النور,6,29
Other,2809,سياق,6,16
AJA,2332,الجرح المفتوح,5,13
AJA,2399,العابرون على جلد غزة,5,9
AJA,2632,العلاج,5,6
AJA,2712,الجزيرة  25 عاما,5,8
AJA,2909,مصر الشعب ينتصر,5,10
AJA,3050,الحراك,5,6
AJA,3120,حمص درب الحرية,5,5
AJD,2301,أحلام بلا حدود,5,8
AJD,2372,الوحل,5,7
AJD,2556,محمد عبد الوهاب - صانع موسيقى القرن,5,6
AJD,2618,على ضفة النهر,5,6
AJD,2648,موائد الأجداد,5,6
AJD,2799,العميد,5,8
AJD,3032,أحلامنا,5,6
AJD,3061,حكاية سيدة عربية,5,5
AJA,2333,رائدات,4,6
AJA,2335,التبادل,4,14
AJA,2339,نهضة أمة,4,4
AJA,2362,جنوب السودان بلد الأحلام,4,5
AJA,2365,مقتل الرجل النبيل,4,4
AJA,2369,ميدان الفن: شعراء الاحتجاج,4,8
AJA,2388,كل شيء حي,4,6
AJA,2544,قائمة غولدا مائير,4,9
AJA,3439,الديون.. حمل الشعوب الثقيل,4,5
AJD,2177,علماء عرب في مختبرات الغرب,4,9
AJD,2394,مبارك وسنينه,4,5
AJD,2395,أعراس عربية,4,11
AJD,2555,تاريخ المسرح العربي,4,6
AJD,2843,العرب والأتراك,4,5
AJD,2850,شيفرة البتراء,4,10
AJD,2917,شكرا كرة القدم,4,4
AJD,3150,حكاية أسير ورحلة عذاب,4,5
LIVE,3028,هيل وزعفران,4,4
Other,3054,رمضان من,4,9
Other,3092,معالم إسلامية,4,6
AJA,2392,الهند البحث عن الروح,3,7
AJA,2409,جلادون وضحايا,3,4
AJA,2547,حكاية الوادي,3,6
AJA,2611,سلسلة أفلام مؤسسة قطر,3,4
AJA,2711,التلفزيون العربي,3,4
AJA,2905,عند مطلع الشمس,3,7
AJA,2955,تونس ثورة تروي مسيرتها,3,7
AJA,2956,آفاق الثورات العربية,3,4
AJD,2138,مهن وطقوس العيد,3,9
AJD,2139,حليم.. غنوة لكل الناس,3,4
AJD,2144,أحلام بيضاء,3,3
AJD,2179,جسور التواصل,3,5
AJD,2196,مصورو فلسطين,3,3
AJD,2374,الموسيقى الأمازيغية المغربية,3,5
